id,charge,depth,status,reactions,ready,missing
Ar,0,0,curated,58,yes,
Ar+,1,1,curated,49,no,polarizability_A3
Ar_4s,0,1,literature_supported,37,no,polarizability_A3
C,0,2,literature_supported,44,no,polarizability_A3
C+,1,2,candidate,56,no,mass_amu|polarizability_A3
CF,0,2,literature_supported,64,no,polarizability_A3
CF*,0,3,candidate,24,no,mass_amu|polarizability_A3
CF+,1,2,candidate,9,no,mass_amu|polarizability_A3
CF2,0,1,estimated,84,no,polarizability_A3
CF2*,0,2,candidate,28,no,mass_amu|polarizability_A3
CF2+,1,1,estimated,77,no,polarizability_A3
CF2_v,0,2,candidate,47,no,mass_amu|polarizability_A3
CF3,0,1,estimated,81,no,polarizability_A3
CF3*,0,2,candidate,32,no,mass_amu|polarizability_A3
CF3+,1,1,estimated,89,no,polarizability_A3
CF3_v,0,2,candidate,51,no,mass_amu|polarizability_A3
CF4,0,0,estimated,78,yes,
CF4*,0,1,candidate,29,no,mass_amu|polarizability_A3
CF4+,1,2,estimated,77,no,polarizability_A3
CF4_v,0,1,candidate,48,no,mass_amu|polarizability_A3
CF_v,0,3,candidate,43,no,mass_amu|polarizability_A3
C_1D,0,2,literature_supported,26,no,polarizability_A3
C_1S,0,2,literature_supported,29,no,polarizability_A3
F,0,1,curated,219,yes,
F*,0,2,candidate,18,no,mass_amu|polarizability_A3
F+,1,1,curated,50,no,polarizability_A3
F2,0,1,literature_supported,110,no,polarizability_A3
F2*,0,2,candidate,28,no,mass_amu|polarizability_A3
F2+,1,2,literature_supported,60,no,polarizability_A3
F2_v,0,2,candidate,47,no,mass_amu|polarizability_A3
